MODEL,SERIAL,PALLET,TIME,RESULT,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 5,SENSOR 6,MEMO
0000_DEFAULT,000000000000000,,15:13:58,NG,,,,,,,,,,,,,,,,,,,,,,,,,122,0.30,0.5,#0,0.33,0.4,19,4.61,6.1,#0,4.77,0.4,19,0.34,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:22:17,NG,,,,,,,,,,,,,,,,,,,,,,,,,124,0.30,0.5,#0,0.33,0.4,19,4.61,6.1,#0,4.77,0.4,19,0.34,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:28:04,NG,,,,,,,,,,,,,,,,,,,,,,,,,105,0.29,0.5,#0,0.33,0.4,19,4.61,6.1,#0,4.78,0.4,19,0.34,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:31:59,NG,,,,,,,,,,,,,,,,,,,,,,,,,126,0.30,0.5,#0,0.33,0.4,20,4.61,6.1,#0,4.78,0.4,20,0.34,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:32:45,NG,,,,,,,,,,,,,,,,,,,,,,,,,122,0.30,0.5,#1,0.33,0.4,20,4.61,6.1,#0,4.77,0.4,21,0.34,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:37:58,NG,,,,,,,,,,,,,,,,,,,,,,,,,125,0.29,0.5,#1,0.33,0.4,20,4.61,6.1,#0,4.78,0.4,21,0.34,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:39:57,NG,,,,,,,,,,,,,,,,,,,,,,,,,197,0.29,0.5,#0,0.33,0.4,20,4.61,6.1,166,4.77,0.4,19,0.34,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:41:04,NG,,,,,,,,,,,,,,,,,,,,,,,,,199,0.30,0.5,19,0.34,5.8,19,4.61,6.1,167,4.78,0.4,#0,4.78,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:42:35,NG,,,,,,,,,,,,,,,,,,,,,,,,,199,0.30,0.5,20,0.34,6.2,18,4.61,6.1,168,4.78,0.4,#0,4.78,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:43:01,NG,,,,,,,,,,,,,,,,,,,,,,,,,200,0.30,0.5,20,0.34,6.2,18,4.61,6.1,166,4.78,0.4,#0,4.78,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:44:15,NG,,,,,,,,,,,,,,,,,,,,,,,,,133,0.15,0.4,20,0.33,6.1,18,4.61,6.3,#46,4.81,0.4,20,4.80,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:44:53,NG,,,,,,,,,,,,,,,,,,,,,,,,,138,0.15,0.5,19,0.33,6.0,19,4.61,6.3,#95,4.80,0.5,24,4.80,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:46:00,NG,,,,,,,,,,,,,,,,,,,,,,,,,#24,0.15,0.2,20,0.37,6.1,19,4.60,6.0,#17,4.81,0.3,32,4.81,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:46:30,NG,,,,,,,,,,,,,,,,,,,,,,,,,196,0.15,0.7,19,0.33,6.3,19,4.61,6.5,194,4.81,0.8,23,4.80,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,16:33:58,NG,,,,,,,,,,,,,,,,,,,,,,,,,,198,0.15,0.7,#0,0.33,0.7,20,4.61,6.6,192,4.80,0.8,20,0.33,6.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,16:50:48,NG,,,,,,,,,,,,,,,,,,,,,,,,,,198,0.15,0.7,#0,0.32,0.7,19,4.61,6.6,194,4.81,0.8,20,0.33,6.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,16:53:28,NG,,,,,,,,,,,,,,,,,,,,,,,,,,149,0.15,0.4,#0,0.32,0.4,18,4.61,6.4,#92,4.80,0.5,20,0.33,6.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,16:54:19,NG,,,,,,,,,,,,,,,,,,,,,,,,,,198,0.15,0.7,#0,0.33,0.7,19,4.61,6.5,193,4.81,0.8,19,0.33,6.6,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,16:59:20,NG,,,,,,,,,,,,,,,,,,,,,,,,,,199,0.15,0.7,#0,0.32,0.7,18,4.61,6.5,189,4.81,0.8,19,0.33,6.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,17:50:58,NG,,,,,,,,,,,,,,,,,,,,,,,,,,197,0.15,0.7,#0,0.30,0.7,18,4.61,6.5,191,4.81,0.8,19,0.33,6.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:07:00,NG,,,,,,,,,,,,,,,,,,,,,,,,,,199,0.15,0.7,19,0.33,6.3,19,4.61,6.6,192,4.80,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:07:26,NG,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.15,0.7,19,0.34,6.7,18,4.60,6.6,192,4.81,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:07:49,NG,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.15,0.7,19,0.34,6.7,19,4.60,6.6,194,4.80,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:10:56,NG,,,,,,,,,,,,,,,,,,,,,,,,,,193,#0.25,0.5,19,0.34,6.0,20,4.60,6.3,194,4.81,0.8,6,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:11:39,NG,,,,,,,,,,,,,,,,,,,,,,,,,,195,0.15,0.7,20,0.34,6.5,18,4.60,6.6,188,4.80,0.8,#0,4.81,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:15:05,NG,,,,,,,,,,,,,,,,,,,,,,,,,,#99,3,6.8,20,#96,7.0,#0,#96,0.4,196,96,0.7,#0,#96,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,000000000000000,,19:26:38,NG,,,,,,,,,,,,,,,,,,,,,,,,,,103,3,0.8,14,9,1.1,20,88,5.7,#92,96,0.8,18,11,6.4,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
